A1BG
A1CF
A2M
A2ML1
A2MP1
AAAS
AACS
AACSP1
AADACL2-AS1
AADACL4
AADAT
AAGAB
AAK1
AAMDC
AAMP
AAR2
AARD
AARS1
AARS2
AARSD1
AARSD1P1
AASDH
AASDHPPT
AASS
AATBC
AATF
AATK
ABAT
ABCA1
ABCA10
ABCA12
ABCA13
ABCA17P
ABCA2
ABCA3
ABCA4
ABCA5
ABCA7
ABCA8
ABCA9
ABCA9-AS1
ABCB1
ABCB10
ABCB11
ABCB4
ABCB5
ABCB7
ABCB8
ABCB9
ABCC1
ABCC10
ABCC11
ABCC12
ABCC2
ABCC3
ABCC4
ABCC5
ABCC6
ABCC6P1
ABCC6P2
ABCC8
ABCC9
ABCD1
ABCD2
ABCD3
ABCD4
ABCE1
ABCF1
ABCF2
ABCF2P1
ABCF3
ABCG1
ABCG2
ABCG4
ABCG5
ABCG8
ABHD1
ABHD10
ABHD11
ABHD12
ABHD12B
ABHD13
ABHD14A
ABHD15-AS1
ABHD16A
ABHD17A
ABHD17AP6
ABHD17B
ABHD17C
ABHD18
ABHD2
ABHD3
ABHD4
ABHD5
ABHD6
ABHD8
ABI1
ABI2
ABI3BP
ABITRAM
ABL1
ABL2
ABLIM2
ABLIM3
ABO
ABR
ABRACL
ABRAXAS1
ABRAXAS2
ABTB1
ABTB2
ACAA1
ACAA2
ACACA
ACACB
ACAD10
ACAD8
ACAD9
ACADM
ACADS
ACADSB
ACADVL
ACAN
ACAP1
ACAP2
ACAP3
ACAT1
ACAT2
ACBD3
ACBD4
ACBD5
ACBD6
ACBD7
ACCS
ACD
ACER1
ACER2
ACER3
ACHE
ACIN1
ACKR3
ACLY
ACO1
ACO2
ACOD1
ACOT11
ACOT12
ACOT13
ACOT7
ACOT8
ACOT9
ACOX1
ACOX2
ACOX3
ACOXL
ACP1
ACP3
ACP6
ACP7
ACRBP
ACRV1
ACSBG1
ACSF2
ACSF3
ACSL1
ACSL3
ACSL4
ACSL6
ACSM2B
ACSM3
ACSM4
ACSM5P1
ACSM6
ACSS1
ACSS2
ACSS3
ACTB
ACTBP1
ACTBP15
ACTBP8
ACTE1P
ACTG1
ACTG1P1
ACTG1P17
ACTG1P19
ACTG1P21
ACTG1P22
ACTG1P25
ACTG1P9
ACTG2
ACTL11P
ACTL6A
ACTL6B
ACTL8
ACTN1
ACTN2
ACTN3
ACTN4
ACTN4P2
ACTR10
ACTR1A
ACTR1B
ACTR2
ACTR3
ACTR3-AS1
ACTR3B
ACTR3C
ACTR5
ACTR6
ACTR8
ACTRT1P1
ACTRT3
ACVR1
ACVR1B
ACVR1C
ACVR2A
ACVR2B
ACVR2B-AS1
ACY3
ACYP1
ACYP2
ADA
ADA2
ADAD2
ADAL
ADAM10
ADAM11
ADAM12
ADAM15
ADAM17
ADAM18
ADAM19
ADAM2
ADAM20P1
ADAM21
ADAM21P1
ADAM22
ADAM23
ADAM29
ADAM32
ADAM33
ADAM3A
ADAM5
ADAM9
ADAMTS1
ADAMTS10
ADAMTS12
ADAMTS13
ADAMTS14
ADAMTS15
ADAMTS16
ADAMTS17
ADAMTS18
ADAMTS19
ADAMTS19-AS1
ADAMTS2
ADAMTS20
ADAMTS3
ADAMTS4
ADAMTS5
ADAMTS6
ADAMTS7
ADAMTS7P3
ADAMTS7P4
ADAMTS8
ADAMTS9
ADAMTS9-AS2
ADAMTSL1
ADAMTSL2
ADAMTSL3
ADAP2
ADAR
ADARB1
ADARB2
ADAT1
ADAT2
ADAT3
ADCK1
ADCK5
ADCY1
ADCY10
ADCY10P1
ADCY2
ADCY3
ADCY5
ADCY6
ADCY7
ADCY8
ADCY9
ADCYAP1
ADCYAP1R1
ADD1
ADD2
ADD3
ADD3-AS1
ADGB
ADGRA1
ADGRA2
ADGRA3
ADGRB1
ADGRB2
ADGRB3
ADGRD1
ADGRD2
ADGRE2
ADGRE3
ADGRE4P
ADGRE5
ADGRF4
ADGRF5
ADGRG1
ADGRG2
ADGRG3
ADGRG4
ADGRG5
ADGRG6
ADGRL1
ADGRL1-AS1
ADGRL2
ADGRL3
ADGRL3-AS1
ADGRL4
ADGRV1
ADH4
ADH5
ADH5P3
ADH5P4
ADH7
ADI1
ADIG
ADIPOR1
ADIPOR2
ADK
ADM
ADNP
ADNP-AS1
ADNP2
ADO
ADORA1
